Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR28444303,2024-06-30 01:23:58,2024-03-25 18:52:58,73561,44283722,73561,602,13,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28444/SRR28444303/SRR28444303.lite.1,SRX24048027,A552,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP497720,PRJNA1091201,,1091201,SRS20840211,SAMN40589574,simple,1759406,microbial fuel cell metagenome,A552,,,,,,,no,,,,,GUANGXI NORMAL UNIVERSITY,SRA1833250,,public,146C52698B54DDC633FDD16DC3358259,AD22ED20674865190BCC9A782AA2794F
SRR28444302,2024-06-30 01:21:00,2024-03-25 18:52:01,85652,51562504,85652,602,15,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28444/SRR28444302/SRR28444302.lite.1,SRX24048028,A553,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP497720,PRJNA1091201,,1091201,SRS20840212,SAMN40589575,simple,1759406,microbial fuel cell metagenome,A553,,,,,,,no,,,,,GUANGXI NORMAL UNIVERSITY,SRA1833250,,public,3A1D899F8E4F40390B9D55CF51D097C6,A51A4F2F4DD930FD0E6A7064D409A069
SRR28444301,2024-06-30 01:21:00,2024-03-25 18:52:29,75645,45538290,75645,602,13,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28444/SRR28444301/SRR28444301.lite.1,SRX24048029,A701,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP497720,PRJNA1091201,,1091201,SRS20840213,SAMN40589576,simple,1759406,microbial fuel cell metagenome,A701,,,,,,,no,,,,,GUANGXI NORMAL UNIVERSITY,SRA1833250,,public,5F94EFB306AB32E56C24346ADE3ED8D2,206B56642EDA289531A42367702CBB5F
SRR28444300,2024-06-30 01:23:58,2024-03-25 18:52:27,90879,54709158,90879,602,16,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28444/SRR28444300/SRR28444300.lite.1,SRX24048030,A702,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP497720,PRJNA1091201,,1091201,SRS20840214,SAMN40589577,simple,1759406,microbial fuel cell metagenome,A702,,,,,,,no,,,,,GUANGXI NORMAL UNIVERSITY,SRA1833250,,public,4B95EF095793EB533BC112360F771CC2,39BA811CD138BE1432CFD94FEA796084
SRR28444299,2024-06-30 01:23:58,2024-03-25 18:52:28,78006,46959612,78006,602,14,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28444/SRR28444299/SRR28444299.lite.1,SRX24048031,A703,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP497720,PRJNA1091201,,1091201,SRS20840215,SAMN40589578,simple,1759406,microbial fuel cell metagenome,A703,,,,,,,no,,,,,GUANGXI NORMAL UNIVERSITY,SRA1833250,,public,8AB4E726B17B07C89A6549752748DAB9,DFE4CDA6DADCE48D72236E62D0CF33CD
SRR28444298,2024-06-30 01:23:58,2024-03-25 18:52:19,51294,30878988,51294,602,10,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28444/SRR28444298/SRR28444298.lite.1,SRX24048032,C301,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP497720,PRJNA1091201,,1091201,SRS20840216,SAMN40589579,simple,1759406,microbial fuel cell metagenome,C301,,,,,,,no,,,,,GUANGXI NORMAL UNIVERSITY,SRA1833250,,public,B4D0BCF48E0F66B3DE567A377CC53195,21751CA1D6151EFFBB05F80E73175B97
SRR28444297,2024-06-30 01:21:00,2024-03-25 18:51:58,43220,26018440,43220,602,8,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28444/SRR28444297/SRR28444297.lite.1,SRX24048033,C302,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP497720,PRJNA1091201,,1091201,SRS20840217,SAMN40589580,simple,1759406,microbial fuel cell metagenome,C302,,,,,,,no,,,,,GUANGXI NORMAL UNIVERSITY,SRA1833250,,public,5EC7DFA715680A1E845C8A42A4508319,4C466E92C0B94E99A89744FA16FA3365
SRR28444295,2024-06-30 01:23:58,2024-03-25 18:52:40,70715,42570430,70715,602,13,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28444/SRR28444295/SRR28444295.lite.1,SRX24048035,C303,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP497720,PRJNA1091201,,1091201,SRS20840219,SAMN40589581,simple,1759406,microbial fuel cell metagenome,C303,,,,,,,no,,,,,GUANGXI NORMAL UNIVERSITY,SRA1833250,,public,C1B577BBE273E843CE53B5B6A43A1E4D,66319CA59899C438CD7EBDECC7454A6E
SRR28444294,2024-06-30 01:23:58,2024-03-25 18:52:10,78179,47063758,78179,602,15,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28444/SRR28444294/SRR28444294.lite.1,SRX24048036,C351,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP497720,PRJNA1091201,,1091201,SRS20840220,SAMN40589582,simple,1759406,microbial fuel cell metagenome,C351,,,,,,,no,,,,,GUANGXI NORMAL UNIVERSITY,SRA1833250,,public,6669FF13D9C8807EB628EDD055E9E91B,5DD3ADF5DDC27EEBB986A174B3B894DC
SRR28444293,2024-06-30 01:21:00,2024-03-25 18:52:43,101376,61028352,101376,602,20,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28444/SRR28444293/SRR28444293.lite.1,SRX24048037,C352,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP497720,PRJNA1091201,,1091201,SRS20840221,SAMN40589583,simple,1759406,microbial fuel cell metagenome,C352,,,,,,,no,,,,,GUANGXI NORMAL UNIVERSITY,SRA1833250,,public,D5E686F03FECEC694CEE61CF85A59AD0,0A38FFF2725CA7B49BF5AD01C0235F61
SRR28444292,2024-06-30 01:23:59,2024-03-25 18:52:37,64238,38671276,64238,602,13,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28444/SRR28444292/SRR28444292.lite.1,SRX24048038,C353,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP497720,PRJNA1091201,,1091201,SRS20840222,SAMN40589584,simple,1759406,microbial fuel cell metagenome,C353,,,,,,,no,,,,,GUANGXI NORMAL UNIVERSITY,SRA1833250,,public,5D296C697BCC5D13D0FFE2F6B0C9A83C,1BF27C2E9AC25C01461DE2EAE084ED04
SRR28444291,2024-06-30 01:21:00,2024-03-25 18:52:59,91549,55112498,91549,602,17,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28444/SRR28444291/SRR28444291.lite.1,SRX24048039,C451,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP497720,PRJNA1091201,,1091201,SRS20840223,SAMN40589585,simple,1759406,microbial fuel cell metagenome,C451,,,,,,,no,,,,,GUANGXI NORMAL UNIVERSITY,SRA1833250,,public,A71D6451E8BF5F889421E33D2FF1822F,8D340C28F4149805F625BA50904762FF
SRR28444290,2024-06-30 01:23:59,2024-03-25 18:52:18,77146,46441892,77146,602,14,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28444/SRR28444290/SRR28444290.lite.1,SRX24048040,C452,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP497720,PRJNA1091201,,1091201,SRS20840224,SAMN40589586,simple,1759406,microbial fuel cell metagenome,C452,,,,,,,no,,,,,GUANGXI NORMAL UNIVERSITY,SRA1833250,,public,43CD9524D33CD7DB7B51D112D7EE2F42,A4DC5EF3F762623F545C357E22CBA777
SRR28444289,2024-06-30 01:23:59,2024-03-25 18:52:12,74732,44988664,74732,602,14,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28444/SRR28444289/SRR28444289.lite.1,SRX24048041,C453,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP497720,PRJNA1091201,,1091201,SRS20840225,SAMN40589587,simple,1759406,microbial fuel cell metagenome,C453,,,,,,,no,,,,,GUANGXI NORMAL UNIVERSITY,SRA1833250,,public,0C3FB6EF9519113D7334B575E2DE30E4,43BC0A0D942C639831B268889E3695B9
SRR28444288,2024-06-30 01:21:00,2024-03-25 18:52:33,64242,38673684,64242,602,12,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28444/SRR28444288/SRR28444288.lite.1,SRX24048042,C551,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP497720,PRJNA1091201,,1091201,SRS20840226,SAMN40589588,simple,1759406,microbial fuel cell metagenome,C551,,,,,,,no,,,,,GUANGXI NORMAL UNIVERSITY,SRA1833250,,public,76F46B08C7E6515F38F9B84AA4F5C74D,6749E54825EAD6C4F452863FCC97E9EA
SRR28444287,2024-06-30 01:21:01,2024-03-25 18:52:57,81585,49114170,81585,602,16,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28444/SRR28444287/SRR28444287.lite.1,SRX24048043,C552,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP497720,PRJNA1091201,,1091201,SRS20840227,SAMN40589589,simple,1759406,microbial fuel cell metagenome,C552,,,,,,,no,,,,,GUANGXI NORMAL UNIVERSITY,SRA1833250,,public,52D73FE58EE25219F54A8A2983CAFB3D,0447C7661575553DE0C5A439FCF55405
SRR28444286,2024-06-30 01:23:59,2024-03-25 18:52:35,68324,41131048,68324,602,13,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28444/SRR28444286/SRR28444286.lite.1,SRX24048044,C553,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP497720,PRJNA1091201,,1091201,SRS20840228,SAMN40589590,simple,1759406,microbial fuel cell metagenome,C553,,,,,,,no,,,,,GUANGXI NORMAL UNIVERSITY,SRA1833250,,public,3726F03FA3C78A46F55A49D0F31B2926,D6BFF61C5EEAC097BC5898134CEE607F
SRR28444284,2024-06-30 01:23:59,2024-03-25 18:52:35,64590,38883180,64590,602,12,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28444/SRR28444284/SRR28444284.lite.1,SRX24048046,C701,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP497720,PRJNA1091201,,1091201,SRS20840230,SAMN40589591,simple,1759406,microbial fuel cell metagenome,C701,,,,,,,no,,,,,GUANGXI NORMAL UNIVERSITY,SRA1833250,,public,EB2D90FE44782B018357917C4C6BCF76,9B978D6059DCE4CE747401A6B610F228
SRR28444283,2024-06-30 01:23:59,2024-03-25 18:52:41,67481,40623562,67481,602,13,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28444/SRR28444283/SRR28444283.lite.1,SRX24048047,C702,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP497720,PRJNA1091201,,1091201,SRS20840231,SAMN40589592,simple,1759406,microbial fuel cell metagenome,C702,,,,,,,no,,,,,GUANGXI NORMAL UNIVERSITY,SRA1833250,,public,EFD7DA6CCB7014E8EA084297A1B97B58,D69D28879A1931AC3B41799A791F89D0
SRR28444282,2024-06-30 01:23:59,2024-03-25 18:52:21,63752,38378704,63752,602,12,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28444/SRR28444282/SRR28444282.lite.1,SRX24048048,C703,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP497720,PRJNA1091201,,1091201,SRS20840232,SAMN40589593,simple,1759406,microbial fuel cell metagenome,C703,,,,,,,no,,,,,GUANGXI NORMAL UNIVERSITY,SRA1833250,,public,E880DDBDA7633A86A25B33B0C1C3910E,CFFF76DC95654994832706A6AD50813E
SRR29663998,2024-07-01 12:40:58,2024-07-01 12:33:51,63666,31514670,63666,495,9,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29663/SRR29663998/SRR29663998.lite.1,SRX25167830,CF-1,AMPLICON,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP517244,PRJNA1129440,,1129440,SRS21857927,SAMN42151977,simple,1759406,microbial fuel cell metagenome,CF-1,,,,,,,no,,,,,DONGHUA UNIVERSITY,SRA1913803,,public,E65863878A7968488385765D508739DF,CA67B94D49FC65F15FE0665C90CBC180
SRR29663997,2024-07-01 12:42:27,2024-07-01 12:33:54,70923,35035962,70923,494,10,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29663/SRR29663997/SRR29663997.lite.1,SRX25167831,CF-2,AMPLICON,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP517244,PRJNA1129440,,1129440,SRS21857928,SAMN42151978,simple,1759406,microbial fuel cell metagenome,CF-2,,,,,,,no,,,,,DONGHUA UNIVERSITY,SRA1913803,,public,60E7E17D6E4E2829E7AA2DCBF4B2EEFF,88CE5202D5E86C814049AFFDB3ED97CC
SRR29663996,2024-07-01 12:40:58,2024-07-01 12:34:10,70275,34645575,70275,493,10,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29663/SRR29663996/SRR29663996.lite.1,SRX25167832,CF-3,AMPLICON,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP517244,PRJNA1129440,,1129440,SRS21857929,SAMN42151979,simple,1759406,microbial fuel cell metagenome,CF-3,,,,,,,no,,,,,DONGHUA UNIVERSITY,SRA1913803,,public,7896212DD57394ADBA05C826CD867B55,89B36DA98B09441BB9272D90C76101A9
SRR29663995,2024-07-01 12:40:58,2024-07-01 12:33:54,65743,32345556,65743,492,9,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29663/SRR29663995/SRR29663995.lite.1,SRX25167833,CF-4,AMPLICON,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP517244,PRJNA1129440,,1129440,SRS21857930,SAMN42151980,simple,1759406,microbial fuel cell metagenome,CF-4,,,,,,,no,,,,,DONGHUA UNIVERSITY,SRA1913803,,public,C28C1392E5B518F259F19F57101175A7,C9A5A6714235E7F0DF80862EB277304C
SRR28444308,2024-06-30 01:13:00,2024-03-25 18:52:42,76457,46027114,76457,602,24,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28444/SRR28444308/SRR28444308.lite.1,SRX24048022,HNA1,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP497720,PRJNA1091201,,1091201,SRS20840206,SAMN40589561,simple,1759406,microbial fuel cell metagenome,HNA1,,,,,,,no,,,,,GUANGXI NORMAL UNIVERSITY,SRA1833250,,public,DEC36B098A9D10846E840944CBAFF731,1B2AA05458A16F55B2B50F7F51104467
SRR28444307,2024-06-30 01:13:00,2024-03-25 18:52:26,67422,40588044,67422,602,21,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28444/SRR28444307/SRR28444307.lite.1,SRX24048023,HNA2,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP497720,PRJNA1091201,,1091201,SRS20840207,SAMN40589562,simple,1759406,microbial fuel cell metagenome,HNA2,,,,,,,no,,,,,GUANGXI NORMAL UNIVERSITY,SRA1833250,,public,5AACF6F96ABE1EE9BBAFC36535E80D1D,8EF83E8601667DAB2FD9BBA6EA1AEC14
SRR28444296,2024-06-30 01:13:01,2024-03-25 18:52:35,74517,44859234,74517,602,23,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28444/SRR28444296/SRR28444296.lite.1,SRX24048034,HNA3,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP497720,PRJNA1091201,,1091201,SRS20840218,SAMN40589563,simple,1759406,microbial fuel cell metagenome,HNA3,,,,,,,no,,,,,GUANGXI NORMAL UNIVERSITY,SRA1833250,,public,7D1DAC273D22FCE5C08F32FB481980FB,2EF1C64E596D2C124D21831F57560E76
DRR518140,2024-04-03 13:12:05,2024-04-03 13:11:46,63509,38109578,63509,600,22,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/DRR000/518/DRR518140/DRR518140.lite.1,DRX502026,,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,DRP011412,PRJDB17159,,1096171,DRS373334,SAMD00662117,simple,1759406,microbial fuel cell metagenome,SAMD00662117,,,,,,,no,,,,,TOKYO_PHARM,DRA017553,,public,A8ACAD7BFDEF5773ED86439322CBE8F4,8B8BC4E343B43EAD59E9C5D9A9978D58
DRR518141,2024-04-03 13:12:05,2024-04-03 13:12:20,51635,30909724,51635,598,18,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/DRR000/518/DRR518141/DRR518141.lite.1,DRX502027,,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,DRP011412,PRJDB17159,,1096171,DRS373335,SAMD00662118,simple,1759406,microbial fuel cell metagenome,SAMD00662118,,,,,,,no,,,,,TOKYO_PHARM,DRA017553,,public,3846B8B7D45CC92C8BA90BE70D7807CD,2E86A17704F847725CC9B5589F15E074
DRR518142,2024-04-03 13:12:05,2024-04-03 13:12:05,65287,39107414,65287,599,23,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/DRR000/518/DRR518142/DRR518142.lite.1,DRX502028,,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,DRP011412,PRJDB17159,,1096171,DRS373336,SAMD00662119,simple,1759406,microbial fuel cell metagenome,SAMD00662119,,,,,,,no,,,,,TOKYO_PHARM,DRA017553,,public,0E0DDFC115E514DD59F00BBB499F10FA,293158BF9F8B8F9039EF372C11348F64
DRR518143,2024-04-03 13:12:05,2024-04-03 13:12:02,50563,30306614,50563,599,18,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/DRR000/518/DRR518143/DRR518143.lite.1,DRX502029,,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,DRP011412,PRJDB17159,,1096171,DRS373337,SAMD00662120,simple,1759406,microbial fuel cell metagenome,SAMD00662120,,,,,,,no,,,,,TOKYO_PHARM,DRA017553,,public,6D5A84DFA2DCDE50EEED19C3F2640C97,61B75E11F9593DD99709C1BA0141F466
